price,nav-link,description,listing-location,bed,bath,carport,surface_area,building_area,price_per_m2,kecamatan,kabupaten,loc_encoded
1790000000.0,https://www.rumah123.com/properti/sleman/hos17166670/,Rumah 2 Lantai Baru  di jalan Palagan Sleman Yogyakarta,"Ngaglik, Sleman",3.0,3.0,2.0,120.0,110.0,16272727.272727273,Ngaglik,Sleman,36
170000000.0,https://www.rumah123.com/properti/sleman/hos17166674/,RUMAH BARU DEKAT AL AZHAR DAN UGM,"Jombor, Sleman",3.0,2.0,1.0,102.0,126.0,1349206.349206349,Jombor,Sleman,22
695000000.0,https://www.rumah123.com/properti/sleman/hos17166621/,RUMAH ASRI DAN SEJUK DI BERBAH SLEMAN DEKAT PASAR WISATA ALAM,"Berbah, Sleman",2.0,2.0,1.0,100.0,100.0,6950000.0,Berbah,Sleman,4
560000000.0,https://www.rumah123.com/properti/sleman/hos17166607/,Rumah Murah 5 Menit Dari Candi Prambanan Tersisa 1 Unit,"Prambanan, Sleman",3.0,1.0,1.0,109.0,67.0,8358208.955223881,Prambanan,Sleman,46
200000000.0,https://www.rumah123.com/properti/sleman/hos17166601/,Rumah Murah Cicilan 1jt Di Moyudan Sleman,"Moyudan, Sleman",2.0,1.0,1.0,60.0,30.0,6666666.666666667,Moyudan,Sleman,35
1470000000.0,https://www.rumah123.com/properti/sleman/hos17166561/,RUMAH 2 LANTAI MANGKU JALAN ASPAL DEPOK MAGUWOHARJO SLEMAN,"Depok, Sleman",5.0,3.0,1.0,125.0,157.0,9363057.324840764,Depok,Sleman,12
560000000.0,https://www.rumah123.com/properti/sleman/hos17166576/,Tersisa 1 Unit Rumah Murah 5 Menit Dari Candi Prambanan,"Prambanan, Sleman",3.0,1.0,1.0,109.0,67.0,8358208.955223881,Prambanan,Sleman,46
2100000000.0,https://www.rumah123.com/properti/sleman/hos17166543/,Kost Putri + Rumah Induk Dekat Kampus UMY,"Gamping, Sleman",11.0,11.0,2.0,206.0,290.0,7241379.310344827,Gamping,Sleman,13
1600000000.0,https://www.rumah123.com/properti/sleman/hos17166510/,2 Rumah dengan Tanah luas Dekat Pasar Jangkang,"Ngaglik, Sleman",5.0,4.0,2.0,300.0,200.0,8000000.0,Ngaglik,Sleman,36
2400000000.0,https://www.rumah123.com/properti/yogyakarta/hos17139178/,Rumah Bonus Tanah Bangun Kos Dekat Kampus Dan Tempat Wisata,"Kaliurang, Yogyakarta",3.0,3.0,1.0,403.0,220.0,10909090.909090908,Kaliurang,Yogyakarta,25
875000000.0,https://www.rumah123.com/properti/sleman/hos17166476/,Rumah baru cluster Jalan kaliurang km 13,"Ngaglik, Sleman",3.0,2.0,1.0,145.0,85.0,10294117.647058824,Ngaglik,Sleman,36
570000000.0,https://www.rumah123.com/properti/sleman/hos17166436/,Rumah minimalis timur pasar gentan jakal,"Ngaglik, Sleman",2.0,1.0,1.0,83.0,50.0,11400000.0,Ngaglik,Sleman,36
300000000.0,https://www.rumah123.com/properti/bantul/hos16317386/,Miliki Hunian Smart Home Dengan Harga Murah Akses Mudah Ke Yia,"Sedayu, Bantul",2.0,1.0,1.0,60.0,30.0,10000000.0,Sedayu,Bantul,50
